iter	RMSE
117	0.3086663797
118	0.3085224313
119	0.3084124675
120	0.3082844388
121	0.3081977637
122	0.3080964306
123	0.307939246
124	0.3077609755
125	0.3077156313
126	0.3076828014
127	0.3075159861
128	0.3074236384
129	0.3073776593
130	0.3072183499
131	0.3071214497
132	0.3070534351
133	0.3069828792
134	0.3068972844
135	0.3067975737
136	0.3066777064
137	0.3066229475
138	0.3065072861
139	0.3064337841
140	0.3063717892
141	0.306245237
142	0.3061947252
143	0.306065764
144	0.3059314527
145	0.3058453994
146	0.3057628784
147	0.3056227838
148	0.3054989086
149	0.3053255873
150	0.3052302488
151	0.3051729369
152	0.3050910621
153	0.3050018447
154	0.3048807299
155	0.3048331148
156	0.3047074072
157	0.3045982033
158	0.3044964357
159	0.3044048171
160	0.3042543687
161	0.30412116
162	0.3040084256
163	0.3038735029
164	0.3037623833
165	0.3036795441
166	0.3036015931
167	0.3035166895
168	0.3034468509
169	0.3033392446
170	0.3032275776
171	0.3031130856
172	0.3030145616
173	0.3029297895
174	0.3027967397
175	0.3027184275
176	0.3026308564
177	0.3025828527
178	0.3025073971
179	0.3024667782
180	0.302372175
181	0.3022515983
182	0.3021644197
183	0.3020596788
184	0.3019768728
185	0.3018823733
186	0.3017831835
187	0.3016955801
188	0.3016029328
189	0.3015081426
190	0.30141966
191	0.3013074655
192	0.3012117921
193	0.3011393617
194	0.3010387666
195	0.300903112
196	0.300820283
197	0.3007152649
198	0.3006027458
199	0.3004871771
200	0.3004017906
201	0.3003276937
202	0.3002549818
203	0.3001414627
204	0.3000405841
205	0.2999832139
206	0.2999079332
207	0.2998452225
208	0.2997767447
209	0.2996991924
210	0.2995968515
211	0.2995057363
212	0.2994054909
213	0.2993013488
214	0.2991818659
215	0.2990755414
216	0.2989305622
217	0.2988584183
218	0.2987918361
219	0.2987238143
220	0.2986385583
221	0.2985526758
222	0.2984456608
223	0.298326534
224	0.298285095
225	0.2982170643
226	0.2981226449
227	0.2980465501
228	0.2979691612
229	0.2978988166
230	0.2978024663
231	0.2977086331
232	0.2976267271
233	0.29755483
234	0.2974645955
235	0.2973267531
236	0.29727566
237	0.2971652446
238	0.2970788686
239	0.2970090733
240	0.2969426976
241	0.2968762531
242	0.2968044692
243	0.2966881439
244	0.2966255241
245	0.2965590253
246	0.2965080674
247	0.296405262
248	0.2963193592
249	0.2961673392
250	0.2960579358
251	0.2959482251
252	0.295813118
253	0.2957230817
254	0.2956412696
255	0.295551682
256	0.2954628576
257	0.295391883
258	0.2953161467
259	0.2952013649
260	0.2950698842
261	0.2950111908
262	0.294931562
263	0.2948700484
264	0.2947795334
265	0.2946650863
266	0.2945797606
267	0.2944331758
268	0.2943455079
269	0.2942403721
270	0.29416881
271	0.2940698635
272	0.2940103668
273	0.2939553559
274	0.2938655187
275	0.2937994401
276	0.2937079497
277	0.2936379118
278	0.2935744944
279	0.2934994675
280	0.29340374
281	0.2932962826
282	0.2932369317
283	0.2931441003
284	0.2930116041
285	0.2929397282
286	0.2928791503
287	0.2927662964
288	0.2926987216
289	0.2926320777
290	0.292508863
291	0.2924749005
292	0.2923446274
293	0.29225712
294	0.2922100338
295	0.2921507642
296	0.2920635922
297	0.291963904
298	0.2918759234
299	0.2917311866
300	0.2916330028
301	0.2914872384
302	0.2914114769
303	0.2913066537
304	0.2912545307
305	0.2911848912
306	0.2911316607
307	0.2910488937
308	0.2909659108
309	0.2909080216
310	0.2908452329
311	0.2907503813
312	0.2906741381
313	0.2905654359
314	0.2904967427
315	0.2903720113
316	0.2903019997
317	0.2902130495
318	0.2901711594
319	0.2900970157
320	0.2900518414
321	0.2899778292
322	0.2898995577
323	0.2898164103
324	0.2897535617
325	0.2896881394
326	0.2896280062
327	0.2895768474
328	0.2894919009
329	0.2894291745
330	0.2893655956
331	0.2892717096
332	0.2891751736
333	0.2891262862
334	0.2890817171
335	0.2889960392
336	0.2889123907
337	0.2888537259
338	0.2887302318
339	0.288612816
340	0.2885724259
341	0.2884928505
342	0.2884276773
343	0.2883021206
344	0.2882423672
345	0.2881451956
346	0.2880734224
347	0.2879825358
348	0.2879025427
349	0.2877777547
350	0.2877107583
351	0.2876475202
352	0.2875754528
353	0.2874882339
354	0.2873835463
355	0.2873265123
356	0.2872494063
357	0.2871218251
358	0.2870549227
359	0.2869269667
360	0.2868598724
361	0.2867920767
362	0.2867244517
363	0.286652933
364	0.2865575263
365	0.2864752849
366	0.2864019496
367	0.2863508631
368	0.2862915502
369	0.2861856316
370	0.2861093539
371	0.2859865056
372	0.2858669001
373	0.2857598265
374	0.2856034631
375	0.2855565739
376	0.285471377
377	0.2854189736
378	0.28537257
379	0.285271306
380	0.2851913798
381	0.2851446921
382	0.2850759168
383	0.2850035476
384	0.2848963953
385	0.2848216022
386	0.2847383697
387	0.2846548238
388	0.2845693757
389	0.2844824664
390	0.284438521
391	0.2843895473
392	0.2843057154
393	0.2842622063
394	0.2841927968
395	0.2841042784
396	0.284065622
397	0.2839774762
398	0.283895244
399	0.2837725442
400	0.2836471728
401	0.2835995511
402	0.2835627846
403	0.2835225731
404	0.2834743275
405	0.2834264587
406	0.2833960602
407	0.2833039273
408	0.2832399085
409	0.2831743752
410	0.2831157217
411	0.2830507255
412	0.2829920639
413	0.2829340278
414	0.2828894236
415	0.2827985876
416	0.2827425738
417	0.2827118791
418	0.2826600246
419	0.2825940786
420	0.2825408463
421	0.2824980455
422	0.2823487845
423	0.2822891813
424	0.2822150144
425	0.2821597118
426	0.2820913504
427	0.2820099622
428	0.281970915
429	0.2819132243
430	0.2818615537
431	0.2817541279
432	0.2817063342
433	0.2815913709
434	0.2815212071
435	0.2814835753
436	0.2814301705
437	0.2813321242
438	0.2812681884
439	0.2811863235
440	0.2810812797
441	0.2810136057
442	0.2809769087
443	0.2808956276
444	0.2808517442
445	0.2808011952
446	0.2807593758
447	0.2806972103
448	0.2806395316
449	0.2805681908
450	0.2804492195
451	0.2803781731
452	0.2803454594
453	0.2802424384
454	0.2801648685
455	0.2800601334
456	0.2800263747
457	0.2799817536
458	0.2798693251
459	0.2798332027
460	0.2797734847
461	0.2797155494
462	0.2796553529
463	0.2795777175
464	0.2795088042
465	0.2794750845
466	0.2793969364
467	0.2793410815
468	0.2792634651
469	0.2792124987
470	0.2791032847
471	0.2790558084
472	0.2789450894
473	0.2789141137
474	0.2788793454
475	0.2787950111
476	0.2787537936
477	0.2787146525
478	0.2786575687
479	0.278612307
480	0.2785658083
481	0.2785133259
482	0.2784768
483	0.278429359
484	0.2783092232
485	0.2782169705
486	0.2781186442
487	0.278032992
488	0.2779819435
489	0.2779466752
490	0.2778871817
491	0.277832185
492	0.2777619998
493	0.2777120218
494	0.2776024651
495	0.2775165118
496	0.2774436305
497	0.2773792058
498	0.2772916805
499	0.2772099903
500	0.2771456176
501	0.2770817814
502	0.2770494294
503	0.2769560051
504	0.276911888
505	0.2768224543
506	0.2767469259
507	0.2766916824
508	0.2766010053
509	0.2765349464
510	0.2765065401
511	0.2764402101
512	0.2764008294
513	0.2763626992
514	0.2762709259
515	0.2761916783
516	0.2761183153
517	0.2760826135
518	0.2760295952
519	0.2759798816
520	0.2759251302
521	0.2758970304
522	0.2758309148
523	0.2757781164
524	0.2757498308
525	0.2756546377
526	0.2756110854
527	0.2755743831
528	0.2755007887
529	0.2754264305
530	0.2753861939
531	0.275328215
532	0.275279156
533	0.2752254878
534	0.2751773742
535	0.2750868477
536	0.2749976995
537	0.2748830554
538	0.2748275493
539	0.2747779417
540	0.2747442111
541	0.2746900351
542	0.2745777565
543	0.2745467581
544	0.2744999868
545	0.2744087245
546	0.2743750021
547	0.274324504
548	0.2742839295
549	0.2742072389
550	0.2741002478
551	0.274045648
552	0.2739991254
553	0.273955006
554	0.2738781819
555	0.273802508
556	0.2737612272
557	0.2737016338
558	0.2736305411
559	0.2735715635
560	0.2734856035
561	0.273428129
562	0.273379828
563	0.2732842632
564	0.2732500733
565	0.2731667427
566	0.2731061145
567	0.2730227826
568	0.2729218833
569	0.2728831647
570	0.2728376448
571	0.2727847471
572	0.2727355368
573	0.2726529817
574	0.2725666615
575	0.2725084288
576	0.2724644467
577	0.2723669377
578	0.2723042511
579	0.2722268229
580	0.2721519721
581	0.2721176968
582	0.2720767899
583	0.2719980335
584	0.2719226997
585	0.2718583481
586	0.2718198634
587	0.2717894419
588	0.2716831854
589	0.2716211172
590	0.2715560437
591	0.2714836119
592	0.2714467167
593	0.2713736376
594	0.2713082443
595	0.271217994
596	0.2711620839
597	0.2711019627
598	0.271023223
599	0.2709333345
600	0.2708779977
601	0.2708087676
602	0.2707211139
603	0.2706305769
604	0.2705725466
605	0.2705115058
606	0.2704448605
607	0.2703878626
608	0.2702856764
609	0.2701944594
610	0.2701150172
611	0.2700658692
612	0.2699922154
613	0.269926612
614	0.2698646351
615	0.2698133965
616	0.2697573775
617	0.2697247026
618	0.26966033
619	0.2695913589
620	0.2695427592
621	0.2695065837
622	0.2694362586
623	0.2694138993
624	0.2693695346
625	0.2693171814
626	0.2692565229
627	0.2691919278
628	0.2691358185
629	0.2690721369
630	0.2690134265
631	0.2689246514
632	0.268824008
633	0.2687680652
634	0.2686589722
635	0.2685679881
636	0.2685334172
637	0.2684992875
638	0.2684608026
639	0.2684369111
640	0.2683913088
641	0.2683343181
642	0.2682994269
643	0.2682482868
644	0.2682039598
645	0.2681284417
646	0.2680837982
647	0.2680259832
648	0.2679869653
649	0.2679156638
650	0.2678587518
651	0.2678233914
652	0.2677454422
653	0.2677027494
654	0.2676165757
655	0.2675791778
656	0.2675200393
657	0.2674538088
658	0.2673820596
659	0.2672842648
660	0.2672407524
661	0.2671951813
662	0.2671412503
663	0.2670893567
664	0.2670109879
665	0.2669629521
666	0.2668748761
667	0.2668245417
668	0.2667803045
669	0.2667321062
670	0.2666577204
671	0.2666318352
672	0.2665875575
673	0.2665351597
674	0.2664647069
675	0.2663623603
676	0.2662945175
677	0.2662231225
678	0.2661335359
679	0.2661024717
680	0.2660307647
681	0.2659715129
682	0.2659444707
683	0.2658738329
684	0.2657949636
685	0.265753943
686	0.2657006732
687	0.265658963
688	0.2656038051
689	0.265542683
690	0.2655161554
691	0.2654626387
692	0.2654058502
693	0.2653534227
694	0.2652983161
695	0.2652561251
696	0.2651940267
697	0.2650777302
698	0.2650342678
699	0.2649773162
700	0.2649232116
701	0.2648409323
702	0.2647733283
703	0.2647150752
704	0.2646227214
705	0.2645662914
706	0.2645157223
707	0.2644360414
708	0.2643687526
709	0.2643055857
710	0.2642440327
711	0.2642113635
712	0.2641572144
713	0.2641082387
714	0.2640534605
715	0.2640126384
716	0.2639161152
717	0.2638630485
718	0.2637954136
719	0.263725933
720	0.2636966745
721	0.2636508058
722	0.2636037154
723	0.2635381668
724	0.2634818322
725	0.2634318101
726	0.2633319129
727	0.2632961316
728	0.2632516703
729	0.2631717142
730	0.2631116539
731	0.2630352603
732	0.262943114
733	0.2628890332
734	0.2628402982
735	0.2628165116
736	0.2627807005
737	0.2627261635
738	0.2626640285
739	0.2626390476
740	0.2625774677
741	0.2625165206
742	0.2624420617
743	0.2623990851
744	0.2623657813
745	0.2623095323
746	0.2622507951
747	0.2622253558
748	0.262193108
749	0.2621435017
750	0.2621013248
751	0.2620424318
752	0.2620008183
753	0.2619482154
754	0.2619103323
755	0.261885045
756	0.2618330607
757	0.2618106327
758	0.261735314
759	0.2617057249
760	0.2616241962
761	0.2615845008
762	0.2615312226
763	0.2614763705
764	0.2613848341
765	0.2613091944
766	0.2612617856
767	0.2611914272
768	0.2610964082
769	0.261021786
770	0.2609728006
771	0.2609155713
772	0.2608937183
773	0.2608367557
774	0.2607772634
775	0.260717781
776	0.2606402037
777	0.2605990624
778	0.2605548412
779	0.2605273349
780	0.2604919385
781	0.2604568677
782	0.260383559
783	0.2603229446
784	0.2602880303
785	0.2602045784
786	0.260160913
787	0.2600920812
788	0.2600447648
789	0.2600057837
790	0.259943164
791	0.2598223042
792	0.2597710328
793	0.2597237473
794	0.2596630415
795	0.2596377355
796	0.2595878689
797	0.2595441563
798	0.2594090814
799	0.2593616809
800	0.2592983253
801	0.2592452527
802	0.2591906222
803	0.2591193052
804	0.2590582004
805	0.259011856
806	0.2589614677
807	0.2588971421
808	0.2588065126
809	0.2587304434
810	0.2586796488
811	0.2586418632
812	0.2586038662
813	0.2585535015
814	0.2584991753
815	0.2584400633
816	0.2584006994
817	0.2583462864
818	0.2582989672
819	0.2582162304
820	0.258140613
821	0.2580726282
822	0.2580351421
823	0.2579870906
824	0.2579510576
825	0.2578923716
826	0.257833733
827	0.2577979318
828	0.2577421037
829	0.2576866504
830	0.2576488536
831	0.2575829287
832	0.2575146841
833	0.2574654829
834	0.257423758
835	0.2573715976
836	0.2573111515
837	0.2572688633
838	0.2571889088
839	0.2571362815
840	0.2570964602
841	0.2570482293
842	0.2569813827
843	0.2569191817
844	0.2568687038
845	0.2568263565
846	0.25675838
847	0.2567181424
848	0.2566613564
849	0.2565997268
850	0.2565559833
851	0.2564934795
852	0.2564395262
853	0.2563770012
854	0.2563320715
855	0.2562656853
856	0.2561990656
857	0.2561507936
858	0.2560644941
859	0.255983995
860	0.2559233501
861	0.2558615169
862	0.2558024032
863	0.2557509294
864	0.2557018018
865	0.2556734128
866	0.2556309941
867	0.2555683566
868	0.2555377859
869	0.2554703528
870	0.2554216389
871	0.2553730573
872	0.2553186397
873	0.2552785722
874	0.2552036849
875	0.2551598977
876	0.255065396
877	0.2550265729
878	0.2549549566
879	0.2549020475
880	0.2548722023
881	0.2548212375
882	0.254772182
883	0.2546917969
884	0.2546295403
885	0.2545831234
886	0.2545227051
887	0.2544618273
888	0.2544143025
889	0.2543610326
890	0.2543265533
891	0.2542733541
892	0.2542385027
893	0.2542051037
894	0.254131241
895	0.2540630407
896	0.2540236214
897	0.2539760176
898	0.2539205887
899	0.2538693949
900	0.2537963539
901	0.2537439203
902	0.2536975779
903	0.2536469521
904	0.2535895851
905	0.2535362713
906	0.2535181446
907	0.2534517739
908	0.2534097627
909	0.2533513461
910	0.2533093022
911	0.2532781109
912	0.2532201194
913	0.2531561327
914	0.2531015764
915	0.2530469617
916	0.2530131131
917	0.2529650473
918	0.2529438384
919	0.2528809674
920	0.2528295089
921	0.2527589584
922	0.2526921405
923	0.2526639786
924	0.252633266
925	0.2525716565
926	0.2525350871
927	0.252499882
928	0.2524213008
929	0.2523704455
930	0.2523348519
931	0.2522908857
932	0.252209838
933	0.2521251118
934	0.2520702545
935	0.2519950899
936	0.2519756652
937	0.2519412488
938	0.2518971708
939	0.2518459972
940	0.2517598486
941	0.2516826983
942	0.2516230379
943	0.251580396
944	0.251529838
945	0.2514725811
946	0.2514296517
947	0.2513613136
948	0.2513283547
949	0.2512829119
950	0.2512063078
951	0.251157615
952	0.2511259685
953	0.2510759388
954	0.2510547059
955	0.2510136277
956	0.2509614458
957	0.2509085507
958	0.2508694452
959	0.2508316035
960	0.2508011261
961	0.2507594331
962	0.2506663472
963	0.2506188427
964	0.2505559582
965	0.2505007868
966	0.2504597246
967	0.2504216053
968	0.2503746693
969	0.2503015759
970	0.250261261
971	0.2502298702
972	0.2502023387
973	0.2501619262
974	0.2500952369
975	0.250060113
976	0.2500070239
977	0.2499806014
978	0.2499266198
979	0.2498469294
980	0.2498069372
981	0.2497496371
982	0.2496983565
983	0.2496332426
984	0.2496113944
985	0.2495704084
986	0.24951069
987	0.2494167839
988	0.2493181663
989	0.2492794763
990	0.2492190009
991	0.2491177097
992	0.2490635592
993	0.2489840419
994	0.2489090477
995	0.2488800135
996	0.2488377905
997	0.2487842255
998	0.248749875
999	0.2487036502
